County;Region;CCL District;APS District;2017 Inventory Value;2018 Inventory Value;2017 Population;2017 Veterinarian Total;Ratio of 2017 Population to Veterinarian;Ratio of Veterinarians to 100,000 Population;Rank
Anderson     ;4;Northeast;East Central;57,000         ;58,000         ;61127;5;12225.4;8.2;208
Andrews      ;9;Northwest;Northwest   ;11,000         ;11,400         ;16667;4;4166.8;24;135
Angelina     ;5;Southeast;East Central;17,800         ;18,100         ;92034;13;7079.5;14.1;187
Aransas      ;11;Southwest;South       ;3,000          ;3,000          ;25311;13;1947;51.4;52
Archer       ;2;Northwest;Northwest   ;71,000         ;73,000         ;9641;3;3213.7;31.1;95
Armstrong    ;1;Northwest;Northwest   ;17,000         ;17,300         ;1987;3;662.3;151;2
Atascosa     ;8;Southwest;South       ;80,000         ;82,000         ;52520;9;5835.6;17.1;173
Austin       ;6;Southeast;Houston     ;67,000         ;68,000         ;33876;12;2823;35.4;82
Bailey       ;1;Northwest;Northwest   ;110,000        ;110,000        ;8029;7;1147;87.2;15
Bandera      ;8;Southwest;South       ;9,300          ;9,400          ;23725;17;1395.6;71.7;25
Bastrop      ;7;Northwest;East Central;58,000         ;59,000         ;91637;49;1870.1;53.5;46
Baylor       ;2;Northwest;Northwest   ;43,500         ;44,500         ;3709;1;3709;27;113
Bee          ;11;Southwest;South       ;33,000         ;34,000         ;33009;15;2200.6;45.4;64
Bell         ;7;Northwest;East Central;38,500         ;39,000         ;369159;88;4195;23.8;137
Bexar        ;8;Southwest;South       ;34,500         ;35,000         ;1953028;472;4137.8;24.2;132
Blanco       ;7;Northwest;East Central;15,100         ;15,300         ;12244;8;1530.5;65.3;29
Borden       ;9;Northwest;Northwest   ;7,500          ;7,700          ;686;0;0;0;0
Bosque       ;7;Northwest;East Central;42,500         ;43,500         ;19808;11;1800.7;55.5;42
Bowie        ;4;Northeast;East Central;63,000         ;64,000         ;94325;25;3773;26.5;116
Brazoria     ;6;Southeast;Houston     ;87,000         ;88,000         ;378766;75;5050.2;19.8;157
Brazos       ;7;Northwest;East Central;52,000         ;53,000         ;224255;327;685.8;145.8;3
Brewster     ;10;Southwest;Northwest   ;17,400         ;17,700         ;9971;5;1994.2;50.1;54
Briscoe      ;1;Northwest;Northwest   ;14,800         ;15,100         ;1679;1;1679;59.6;38
Brooks       ;11;Southwest;South       ;31,500         ;32,000         ;7567;2;3783.5;26.4;117
Brown        ;2;Northwest;Northwest   ;44,500         ;45,500         ;39995;12;3332.9;30;100
Burleson     ;7;Northwest;East Central;59,000         ;60,000         ;18980;15;1265.3;79;21
Burnet       ;7;Northwest;East Central;24,500         ;24,500         ;49390;19;2599.5;38.5;74
Caldwell     ;7;Northwest;East Central;39,000         ;40,000         ;45569;8;5696.1;17.6;171
Calhoun      ;8;Southwest;South       ;16,000         ;16,500         ;24071;5;4814.2;20.8;152
Callahan     ;2;Northwest;Northwest   ;41,500         ;42,500         ;14351;6;2391.8;41.8;69
Cameron      ;11;Southwest;South       ;16,000         ;16,200         ;466790;34;13729.1;7.3;211
Camp         ;4;Northeast;East Central;22,500         ;23,000         ;13809;5;2761.8;36.2;79
Carson       ;1;Northwest;Northwest   ;20,000         ;20,500         ;6418;3;2139.3;46.7;61
Cass         ;4;Northeast;East Central;19,900         ;20,000         ;31624;8;3953;25.3;124
Castro       ;1;Northwest;Northwest   ;480,000        ;490,000        ;8662;3;2887.3;34.6;83
Chambers     ;6;Southeast;Houston     ;29,000         ;29,500         ;43513;12;3626.1;27.6;108
Cherokee     ;4;Northeast;East Central;52,000         ;53,000         ;55487;7;7926.7;12.6;195
Childress    ;1;Northwest;Northwest   ;12,900         ;13,100         ;7341;2;3670.5;27.2;110
Clay         ;2;Northwest;Northwest   ;82,000         ;84,000         ;11389;2;5694.5;17.6;170
Cochran      ;1;Northwest;Northwest   ;25,500         ;26,000         ;3374;0;0;0;0
Coke         ;9;Northwest;Northwest   ;11,200         ;11,400         ;3158;1;3158;31.7;92
Coleman      ;2;Northwest;Northwest   ;36,500         ;37,000         ;9147;6;1524.5;65.6;28
Collin       ;3;Northeast;DFW         ;39,000         ;39,500         ;1025618;331;3098.5;32.3;91
Collingsworth;1;Northwest;Northwest   ;23,000         ;23,500         ;3183;0;0;0;0
Colorado     ;6;Southeast;Houston     ;67,000         ;68,000         ;22151;10;2215.1;45.1;65
Comal        ;8;Southwest;South       ;12,500         ;12,700         ;136927;80;1711.6;58.4;39
Comanche     ;2;Northwest;Northwest   ;96,000         ;97,000         ;14577;9;1619.7;61.7;33
Concho       ;9;Northwest;Northwest   ;16,000         ;16,300         ;4256;0;0;0;0
Cooke        ;3;Northeast;DFW         ;70,000         ;71,000         ;40726;22;1851.2;54;45
Coryell      ;7;Northwest;East Central;66,000         ;67,000         ;83448;20;4172.4;24;136
Cottle       ;2;Northwest;Northwest   ;17,500         ;17,800         ;1583;0;0;0;0
Crane        ;9;Northwest;Northwest   ;3,800          ;3,800          ;5054;0;0;0;0
Crockett     ;9;Northwest;Northwest   ;16,900         ;17,200         ;3986;0;0;0;0
Crosby       ;1;Northwest;Northwest   ;9,200          ;9,500          ;6860;0;0;0;0
Culberson    ;10;Southwest;Northwest   ;17,500         ;17,800         ;2628;0;0;0;0
Dallam       ;1;Northwest;Northwest   ;225,000        ;230,000        ;7660;6;1276.7;78.3;22
Dallas       ;3;Northeast;DFW         ;15,300         ;15,500         ;2552920;454;5623.2;17.8;168
Dawson       ;9;Northwest;Northwest   ;2,500          ;2,600          ;14536;9;1615.1;61.9;32
De Witt      ;8;Southwest;South       ;92,000         ;94,000         ;20673;6;3445.5;29;103
Deaf Smith   ;1;Northwest;Northwest   ;525,000        ;535,000        ;21621;7;3088.7;32.4;89
Delta        ;4;Northeast;East Central;20,500         ;21,000         ;5623;3;1874.3;53.4;47
Denton       ;3;Northeast;DFW         ;45,500         ;46,500         ;846738;285;2971;33.7;86
Dickens      ;1;Northwest;Northwest   ;20,500         ;21,000         ;2496;2;1248;80.1;20
Dimmit       ;8;Southwest;South       ;18,300         ;18,600         ;10645;1;10645;9.4;204
Donley       ;1;Northwest;Northwest   ;52,000         ;53,000         ;3827;2;1913.5;52.3;50
Duval        ;11;Southwest;South       ;34,500         ;35,000         ;12398;0;0;0;0
Eastland     ;2;Northwest;Northwest   ;45,500         ;46,500         ;19512;4;4878;20.5;154
Ector        ;9;Northwest;Northwest   ;3,800          ;3,900          ;152715;20;7635.8;13.1;191
