County,Region,CCL District,APS District
Anderson,4,Northeast,East Central
Andrews,9,Northwest,Northwest
Angelina,5,Southeast,East Central
Aransas,11,Southwest,South
Archer,2,Northwest,Northwest
Armstrong,1,Northwest,Northwest
Atascosa,8,Southwest,South
Austin,6,Southeast,Houston
Bailey,1,Northwest,Northwest
Bandera,8,Southwest,South
Bastrop,7,Northwest,East Central
Baylor,2,Northwest,Northwest
Bee,11,Southwest,South
Bell,7,Northwest,East Central
Bexar,8,Southwest,South
Blanco,7,Northwest,East Central
Borden,9,Northwest,Northwest
Bosque,7,Northwest,East Central
Bowie,4,Northeast,East Central
Brazoria,6,Southeast,Houston
Brazos,7,Northwest,East Central
Brewster,10,Southwest,Northwest
Briscoe,1,Northwest,Northwest
Brooks,11,Southwest,South
Brown,2,Northwest,Northwest
Burleson,7,Northwest,East Central
Burnet,7,Northwest,East Central
Caldwell,7,Northwest,East Central
Calhoun,8,Southwest,South
Callahan,2,Northwest,Northwest
Cameron,11,Southwest,South
Camp,4,Northeast,East Central
Carson,1,Northwest,Northwest
Cass,4,Northeast,East Central
Castro,1,Northwest,Northwest
Chambers,6,Southeast,Houston
Cherokee,4,Northeast,East Central
Childress,1,Northwest,Northwest
Clay,2,Northwest,Northwest
Cochran,1,Northwest,Northwest
Coke,9,Northwest,Northwest
Coleman,2,Northwest,Northwest
Collin,3,Northeast,DFW
Collingsworth,1,Northwest,Northwest
Colorado,6,Southeast,Houston
Comal,8,Southwest,South
Comanche,2,Northwest,Northwest
Concho,9,Northwest,Northwest
Cooke,3,Northeast,DFW
Coryell,7,Northwest,East Central
Cottle,2,Northwest,Northwest
Crane,9,Northwest,Northwest
Crockett,9,Northwest,Northwest
Crosby,1,Northwest,Northwest
Culberson,10,Southwest,Northwest
Dallam,1,Northwest,Northwest
Dallas,3,Northeast,DFW
Dawson,9,Northwest,Northwest
Deaf Smith,1,Northwest,Northwest
Delta,4,Northeast,East Central
Denton,3,Northeast,DFW
De Witt,8,Southwest,South
Dickens,1,Northwest,Northwest
Dimmit,8,Southwest,South
Donley,1,Northwest,Northwest
Duval,11,Southwest,South
Eastland,2,Northwest,Northwest
Ector,9,Northwest,Northwest
Edwards,8,Southwest,South
El Paso,10,Southwest,Northwest
Ellis,3,Northeast,DFW
Erath,3,Northeast,DFW
Falls,7,Northwest,East Central
Fannin,3,Northeast,DFW
Fayette,7,Northwest,East Central
Fisher,2,Northwest,Northwest
Floyd,1,Northwest,Northwest
Foard,2,Northwest,Northwest
Fort Bend,6,Southeast,Houston
Franklin,4,Northeast,East Central
Freestone,7,Northwest,East Central
Frio,8,Southwest,South
Gaines,9,Northwest,Northwest
Galveston,6,Southeast,Houston
Garza,1,Northwest,Northwest
Gillespie,8,Southwest,South
Glasscock,9,Northwest,Northwest
Goliad,8,Southwest,South
Gonzales,8,Southwest,South
Gray,1,Northwest,Northwest
Grayson,3,Northeast,DFW
Gregg,4,Northeast,East Central
Grimes,7,Northwest,East Central
Guadalupe,8,Southwest,South
Hale,1,Northwest,Northwest
Hall,1,Northwest,Northwest
Hamilton,7,Northwest,East Central
Hansford,1,Northwest,Northwest
Hardeman,2,Northwest,Northwest
Hardin,5,Southeast,East Central
Harris,6,Southeast,Houston
Harrison,4,Northeast,East Central
Hartley,1,Northwest,Northwest
Haskell,2,Northwest,Northwest
Hays,7,Northwest,East Central
Hemphill,1,Northwest,Northwest
Henderson,4,Northeast,East Central
Hidalgo,11,Southwest,South
Hill,7,Northwest,East Central
Hockley,1,Northwest,Northwest
Hood,3,Northeast,DFW
Hopkins,4,Northeast,East Central
Houston,5,Southeast,East Central
Howard,9,Northwest,Northwest
Hudspeth,10,Southwest,Northwest
Hunt,3,Northeast,DFW
Hutchinson,1,Northwest,Northwest
Irion,9,Northwest,Northwest
Jack,2,Northwest,Northwest
Jackson,8,Southwest,South
Jasper,5,Southeast,East Central
Jeff Davis,10,Southwest,Northwest
Jefferson,5,Southeast,East Central
Jim Hogg,11,Southwest,South
Jim Wells,11,Southwest,South
Johnson,3,Northeast,DFW
Jones,2,Northwest,Northwest
Karnes,8,Southwest,South
Kaufman,3,Northeast,DFW
Kendall,8,Southwest,South
Kenedy,11,Southwest,South
Kent,2,Northwest,Northwest
Kerr,8,Southwest,South
Kimble,9,Northwest,Northwest
King,1,Northwest,Northwest
Kinney,8,Southwest,South
Kleberg,11,Southwest,South
Knox,2,Northwest,Northwest
La Salle,8,Southwest,South
Lamar,4,Northeast,East Central
Lamb,1,Northwest,Northwest
Lampasas,7,Northwest,East Central
Lavaca,8,Southwest,South
Lee,7,Northwest,East Central
Leon,7,Northwest,East Central
Liberty,6,Southeast,Houston
Limestone,7,Northwest,East Central
Lipscomb,1,Northwest,Northwest
Live Oak,11,Southwest,South
Llano,7,Northwest,East Central
Loving,9,Northwest,Northwest
Lubbock,1,Northwest,Northwest
Lynn,1,Northwest,Northwest
Madison,7,Northwest,East Central
Marion,4,Northeast,East Central
Martin,9,Northwest,Northwest
Mason,9,Northwest,Northwest
Matagorda,6,Southeast,Houston
Maverick,8,Southwest,South
McCulloch,9,Northwest,Northwest
McLennan,7,Northwest,East Central
McMullen,11,Southwest,South
Medina,8,Southwest,South
Menard,9,Northwest,Northwest
Midland,9,Northwest,Northwest
Milam,7,Northwest,East Central
Mills,7,Northwest,East Central
Mitchell,2,Northwest,Northwest
Montague,2,Northwest,Northwest
Montgomery,6,Southeast,Houston
Moore,1,Northwest,Northwest
Morris,4,Northeast,East Central
Motley,1,Northwest,Northwest
Nacogdoches,5,Southeast,East Central
Navarro,3,Northeast,DFW
Newton,5,Southeast,East Central
Nolan,2,Northwest,Northwest
Nueces,11,Southwest,South
Ochiltree,1,Northwest,Northwest
Oldham,1,Northwest,Northwest
Orange,5,Southeast,East Central
Palo Pinto,3,Northeast,DFW
Panola,4,Northeast,East Central
Parker,3,Northeast,DFW
Parmer,1,Northwest,Northwest
Pecos,9,Northwest,Northwest
Polk,5,Southeast,East Central
Potter,1,Northwest,Northwest
Presidio,10,Southwest,Northwest
Rains,4,Northeast,East Central
Randall,1,Northwest,Northwest
Reagan,9,Northwest,Northwest
Real,8,Southwest,South
Red River,4,Northeast,East Central
Reeves,9,Northwest,Northwest
Refugio,11,Southwest,South
Roberts,1,Northwest,Northwest
Robertson,7,Northwest,East Central
Rockwall,3,Northeast,DFW
Runnels,2,Northwest,Northwest
Rusk,4,Northeast,East Central
Sabine,5,Southeast,East Central
San Augustine,5,Southeast,East Central
San Jacinto,5,Southeast,East Central
San Patricio,11,Southwest,South
San Saba,7,Northwest,East Central
Schleicher,9,Northwest,Northwest
Scurry,2,Northwest,Northwest
Shackelford,2,Northwest,Northwest
Shelby,5,Southeast,East Central
Sherman,1,Northwest,Northwest
Smith,4,Northeast,East Central
