County,2017 Population,2017 Veterinarian Total,Ratio of 2017 Population to Veterinarian,"Ratio of Veterinarians to 100,000 Population",Rank
Anderson,61127,5,12225.4,8.2,208
Andrews,16667,4,4166.8,24.0,135
Angelina,92034,13,7079.5,14.1,187
Aransas,25311,13,1947.0,51.4,52
Archer,9641,3,3213.7,31.1,95
Armstrong,1987,3,662.3,151.0,2
Atascosa,52520,9,5835.6,17.1,173
Austin,33876,12,2823.0,35.4,82
Bailey,8029,7,1147.0,87.2,15
Bandera,23725,17,1395.6,71.7,25
Bastrop,91637,49,1870.1,53.5,46
Baylor,3709,1,3709.0,27.0,113
Bee,33009,15,2200.6,45.4,64
Bell,369159,88,4195.0,23.8,137
Bexar,1953028,472,4137.8,24.2,132
Blanco,12244,8,1530.5,65.3,29
Borden,686,0,0.0,0.0,0
Bosque,19808,11,1800.7,55.5,42
Bowie,94325,25,3773.0,26.5,116
Brazoria,378766,75,5050.2,19.8,157
Brazos,224255,327,685.8,145.8,3
Brewster,9971,5,1994.2,50.1,54
Briscoe,1679,1,1679.0,59.6,38
Brooks,7567,2,3783.5,26.4,117
Brown,39995,12,3332.9,30.0,100
Burleson,18980,15,1265.3,79.0,21
Burnet,49390,19,2599.5,38.5,74
Caldwell,45569,8,5696.1,17.6,171
Calhoun,24071,5,4814.2,20.8,152
Callahan,14351,6,2391.8,41.8,69
Cameron,466790,34,13729.1,7.3,211
Camp,13809,5,2761.8,36.2,79
Carson,6418,3,2139.3,46.7,61
Cass,31624,8,3953.0,25.3,124
Castro,8662,3,2887.3,34.6,83
Chambers,43513,12,3626.1,27.6,108
Cherokee,55487,7,7926.7,12.6,195
Childress,7341,2,3670.5,27.2,110
Clay,11389,2,5694.5,17.6,170
Cochran,3374,0,0.0,0.0,0
Coke,3158,1,3158.0,31.7,92
Coleman,9147,6,1524.5,65.6,28
Collin,1025618,331,3098.5,32.3,91
Collingsworth,3183,0,0.0,0.0,0
Colorado,22151,10,2215.1,45.1,65
Comal,136927,80,1711.6,58.4,39
Comanche,14577,9,1619.7,61.7,33
Concho,4256,0,0.0,0.0,0
Cooke,40726,22,1851.2,54.0,45
Coryell,83448,20,4172.4,24.0,136
Cottle,1583,0,0.0,0.0,0
Crane,5054,0,0.0,0.0,0
Crockett,3986,0,0.0,0.0,0
Crosby,6860,0,0.0,0.0,0
Culberson,2628,0,0.0,0.0,0
Dallam,7660,6,1276.7,78.3,22
Dallas,2552920,454,5623.2,17.8,168
Dawson,14536,9,1615.1,61.9,32
Deaf Smith,21621,7,3088.7,32.4,89
Delta,5623,3,1874.3,53.4,47
Denton,846738,285,2971.0,33.7,86
De Witt,20673,6,3445.5,29.0,103
Dickens,2496,2,1248.0,80.1,20
Dimmit,10645,1,10645.0,9.4,204
Donley,3827,2,1913.5,52.3,50
Duval,12398,0,0.0,0.0,0
Eastland,19512,4,4878.0,20.5,154
Ector,152715,20,7635.8,13.1,191
Edwards,2144,0,0.0,0.0,0
Ellis,183618,31,5923.2,16.9,174
El Paso,904586,108,8375.8,11.9,199
Erath,40353,36,1120.9,89.2,13
Falls,18879,4,4719.8,21.2,149
Fannin,36571,6,6095.2,16.4,178
Fayette,27147,11,2467.9,40.5,72
Fisher,3931,4,982.8,101.8,8
Floyd,6596,2,3298.0,30.3,98
Foard,1364,0,0.0,0.0,0
Fort Bend,786948,151,5211.6,19.2,161
Franklin,11470,6,1911.7,52.3,49
Freestone,21356,4,5339.0,18.7,162
Frio,19230,1,19230.0,5.2,215
Gaines,20376,1,20376.0,4.9,216
Galveston,321627,104,3092.6,32.3,90
Garza,6836,1,6836.0,14.6,185
Gillespie,28288,26,1088.0,91.9,12
Glasscock,1316,0,0.0,0.0,0
Goliad,8122,4,2030.5,49.2,55
Gonzales,21615,12,1801.3,55.5,43
Gray,24127,6,4021.2,24.9,129
Grayson,129680,46,2819.1,35.5,81
Gregg,131827,32,4119.6,24.3,131
Grimes,29525,23,1283.7,77.9,23
Guadalupe,166027,34,4883.1,20.5,155
Hale,37816,6,6302.7,15.9,181
Hall,3334,0,0.0,0.0,0
Hamilton,8710,7,1244.3,80.4,19
Hansford,6224,9,691.6,144.6,4
Hardeman,4365,1,4365.0,22.9,139
Hardin,59964,10,5996.4,16.7,176
Harris,4633511,1024,4524.9,22.1,144
Harrison,70179,14,5012.8,19.9,156
Hartley,6225,3,2075.0,48.2,57
Haskell,5996,1,5996.0,16.7,175
Hays,215576,66,3266.3,30.6,97
Hemphill,4228,2,2114.0,47.3,60
Henderson,82521,25,3300.8,30.3,99
Hidalgo,931010,43,21651.4,4.6,218
Hill,38112,7,5444.6,18.4,164
Hockley,24467,4,6116.8,16.3,179
Hood,58168,30,1938.9,51.6,51
Hopkins,37465,24,1561.0,64.1,30
Houston,24770,14,1769.3,56.5,40
Howard,37000,6,6166.7,16.2,180
Hudspeth,3835,1,3835.0,26.1,119
Hunt,96586,25,3863.4,25.9,120
Hutchinson,22448,4,5612.0,17.8,167
Irion,1697,0,0.0,0.0,0
Jack,9502,3,3167.3,31.6,93
Jackson,14277,4,3569.3,28.0,106
Jasper,36798,12,3066.5,32.6,88
Jeff Davis,2460,2,1230.0,81.3,18
Jefferson,262687,36,7296.9,13.7,189
Jim Hogg,5626,0,0.0,0.0,0
Jim Wells,43490,9,4832.2,20.7,153
Johnson,175030,47,3724.0,26.9,114
Jones,21647,1,21647.0,4.6,217
Karnes,15853,4,3963.3,25.2,125
Kaufman,133652,30,4455.1,22.4,143
Kendall,41370,44,940.2,106.4,6
Kenedy,450,0,0.0,0.0,0
Kent,808,0,0.0,0.0,0
Kerr,54742,26,2105.5,47.5,59
Kimble,4917,5,983.4,101.7,9
King,296,2,148.0,675.7,1
Kinney,3765,2,1882.5,53.1,48
Kleberg,34388,6,5731.3,17.4,172
Knox,3757,0,0.0,0.0,0
Lamar,52162,13,4012.5,24.9,128
Lamb,14431,3,4810.3,20.8,151
Lampasas,22231,10,2223.1,45.0,66
La Salle,7837,1,7837.0,12.8,194
Lavaca,19649,11,1786.3,56.0,41
Lee,18373,13,1413.3,70.8,26
Leon,18670,7,2667.1,37.5,77
Liberty,86047,11,7822.5,12.8,193
Limestone,25304,4,6326.0,15.8,182
Lipscomb,3639,1,3639.0,27.5,109
Live Oak,11769,3,3923.0,25.5,123
Llano,20829,10,2082.9,48.0,58
Loving,81,0,0.0,0.0,0
Lubbock,302568,70,4322.4,23.1,138
Lynn,6140,0,0.0,0.0,0
McCulloch,8798,2,4399.0,22.7,140
McLennan,248752,53,4693.4,21.3,148
McMullen,759,0,0.0,0.0,0
Madison,15040,7,2148.6,46.5,62
Marion,11220,1,11220.0,8.9,205
Martin,5347,0,0.0,0.0,0
Mason,4155,5,831.0,120.3,5
Matagorda,38879,14,2777.1,36.0,80
Maverick,60789,4,15197.3,6.6,213
Medina,53517,15,3567.8,28.0,105
Menard,2380,2,1190.0,84.0,17
Midland,152189,33,4611.8,21.7,146
Milam,26178,9,2908.7,34.4,84
Mills,5121,1,5121.0,19.5,158
Mitchell,9853,6,1642.2,60.9,35
Montague,20950,13,1611.5,62.1,31
Montgomery,590851,182,3246.4,30.8,96
Moore,24636,3,8212.0,12.2,197
Morris,13625,1,13625.0,7.3,210
Motley,1212,0,0.0,0.0,0
Nacogdoches,70491,17,4146.5,24.1,133
Navarro,53020,12,4418.3,22.6,141
Newton,14388,0,0.0,0.0,0
Nolan,15883,4,3970.8,25.2,126
Nueces,365275,76,4806.3,20.8,150
Ochiltree,11930,1,11930.0,8.4,207
Oldham,2165,2,1082.5,92.4,11
Orange,86261,12,7188.4,13.9,188
Palo Pinto,30638,4,7659.5,13.1,192
Panola,25325,4,6331.3,15.8,183
Parker,145104,123,1179.7,84.8,16
Parmer,11687,6,1947.8,51.3,53
Pecos,16661,2,8330.5,12.0,198
Polk,49954,9,5550.4,18.0,166
Potter,130334,23,5666.7,17.6,169
Presidio,8485,1,8485.0,11.8,200
Rains,12461,3,4153.7,24.1,134
Randall,135116,51,2649.3,37.7,76
Reagan,3747,0,0.0,0.0,0
Real,3418,1,3418.0,29.3,102
Red River,13345,2,6672.5,15.0,184
Reeves,14605,1,14605.0,6.8,212
Refugio,7488,1,7488.0,13.4,190
Roberts,988,1,988.0,101.2,10
Robertson,18666,19,982.4,101.8,7
Rockwall,103544,34,3045.4,32.8,87
Runnels,10846,4,2711.5,36.9,78
Rusk,60164,10,6016.4,16.6,177
Sabine,11763,1,11763.0,8.5,206
San Augustine,9238,2,4619.0,21.6,147
San Jacinto,30578,2,15289.0,6.5,214
San Patricio,67385,13,5183.5,19.3,160
San Saba,6351,2,3175.5,31.5,94
Schleicher,3792,1,3792.0,26.4,118
Scurry,18274,2,9137.0,10.9,203
Shackelford,3621,2,1810.5,55.2,44
Shelby,27694,4,6923.5,14.4,186
Sherman,3311,2,1655.5,60.4,37
Smith,232478,63,3690.1,27.1,112
Somervell,9844,6,1640.7,61.0,34
Starr,66659,2,33329.5,3.0,220
Stephens,10094,3,3364.7,29.7,101
Sterling,1201,0,0.0,0.0,0
Stonewall,1506,0,0.0,0.0,0
Sutton,4505,4,1126.3,88.8,14
Swisher,8107,2,4053.5,24.7,130
Tarrant,2023985,506,4000.0,25.0,127
Taylor,136730,35,3906.6,25.6,122
Terrell,1033,0,0.0,0.0,0
Terry,13150,1,13150.0,7.6,209
Throckmorton,1655,1,1655.0,60.4,36
Titus,36032,7,5147.4,19.4,159
Tom Green,113525,39,2910.9,34.4,85
Travis,1197053,492,2433.0,41.1,70
Trinity,16035,2,8017.5,12.5,196
Tyler,22401,6,3733.5,26.8,115
Upshur,43368,8,5421.0,18.4,163
Upton,3730,0,0.0,0.0,0
Uvalde,27942,13,2149.4,46.5,63
Val Verde,52041,6,8673.5,11.5,201
Van Zandt,56528,16,3533.0,28.3,104
Victoria,91033,20,4551.7,22.0,145
Walker,71206,13,5477.4,18.3,165
Waller,53094,23,2308.4,43.3,67
Ward,11063,3,3687.7,27.1,111
Washington,36520,27,1352.6,73.9,24
Webb,295933,10,29593.3,3.4,219
Wharton,42702,11,3882.0,25.8,121
Wheeler,5740,4,1435.0,69.7,27
Wichita,132676,30,4422.5,22.6,142
Wilbarger,14495,7,2070.7,48.3,56
Willacy,25386,0,0.0,0.0,0
Williamson,562337,215,2615.5,38.2,75
Wilson,52760,21,2512.4,39.8,73
Winkler,7990,0,0.0,0.0,0
Wise,69449,30,2315.0,43.2,68
Wood,46650,13,3588.5,27.9,107
Yoakum,9026,1,9026.0,11.1,202
Young,19483,8,2435.4,41.1,71
Zapata,16138,0,0.0,0.0,0
Zavala,12560,0,0.0,0.0,0
Texas Total,28797290,7406,3888.4,25.7,0
